School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Canyon Crest Academy,#16 Best Public High Schools in America,San Dieguito Union High School District,CA,9-12,4.5,495,A+,"2,255",26:1,2019-03-19 00:43:04.494717
Henry M Gunn High School,#21 Best Public High Schools in America,Palo Alto Unified School District,CA,9-12,4.0,260,A+,"1,918",19:1,2019-03-19 00:43:04.494741
Troy High School,#42 Best Public High Schools in America,Fullerton Joint Union High School District,CA,9-12,4.0,794,A+,"2,755",27:1,2019-03-19 00:43:04.494751
Palo Alto High School,#51 Best Public High Schools in America,Palo Alto Unified School District,CA,9-12,4.0,280,A+,"1,993",19:1,2019-03-19 00:43:04.494760
Miramonte High School,#57 Best Public High Schools in America,Acalanes Union High School District,CA,9-12,4.0,190,A+,"1,232",20:1,2019-03-19 00:43:04.494768
Northwood High School,#67 Best Public High Schools in America,Irvine Unified School District,CA,9-12,4.0,457,A+,"2,240",28:1,2019-03-19 00:43:04.494776
Saratoga High School,#77 Best Public High Schools in America,Los Gatos-Saratoga Joint Union High School District,CA,9-12,4.0,157,A+,"1,305",18:1,2019-03-19 00:43:04.494783
Torrey Pines High School,#80 Best Public High Schools in America,San Dieguito Union High School District,CA,9-12,4.0,401,A+,"2,601",27:1,2019-03-19 00:43:04.494791
Palos Verdes Peninsula High School,#94 Best Public High Schools in America,Palos Verdes Peninsula Unified School District,CA,9-12,4.0,576,A+,"2,519",26:1,2019-03-19 00:43:04.494821
Los Altos High School,#101 Best Public High Schools in America,Mountain View-Los Altos Union High School District,CA,9-12,4.0,263,A+,"2,039",21:1,2019-03-19 00:43:04.494830
Westview High School,#105 Best Public High Schools in America,Poway Unified School District,CA,9-12,4.0,574,A+,"2,304",28:1,2019-03-19 00:43:04.494838
California Academy of Mathematics & Science,#106 Best Public High Schools in America,Long Beach Unified School District,CA,9-12,4.0,398,A+,681,30:1,2019-03-19 00:43:04.494846
Los Gatos High School,#108 Best Public High Schools in America,Los Gatos-Saratoga Joint Union High School District,CA,9-12,4.0,222,A+,"1,975",22:1,2019-03-19 00:43:04.494855
Lynbrook High School,#117 Best Public High Schools in America,Fremont Union High School District,CA,9-12,3.5,418,A+,"1,766",24:1,2019-03-19 00:43:04.494862
Granada Hills Charter High School,#120 Best Public High Schools in America,Los Angeles Unified School District,CA,9-12,4.0,"1,230",A+,"4,650",19:1,2019-03-19 00:43:04.494870
Campolindo High School,#128 Best Public High Schools in America,Acalanes Union High School District,CA,9-12,4.0,236,A+,"1,300",21:1,2019-03-19 00:43:04.494878
San Marino High School,#129 Best Public High Schools in America,San Marino Unified School District,CA,9-12,4.0,244,A+,"1,200",21:1,2019-03-19 00:43:04.494886
La Canada High School,#134 Best Public High Schools in America,La Canada Unified School District,CA,7-12,3.5,308,A+,"2,075",25:1,2019-03-19 00:43:04.494893
Carmel High School,#152 Best Public High Schools in America,Carmel Unified School District,CA,9-12,4.0,205,A+,857,17:1,2019-03-19 00:43:04.494901
Lowell High School,#156 Best Public High Schools in America,San Francisco Unified School District,CA,9-12,3.5,890,A+,"2,685",21:1,2019-03-19 00:43:04.494908
Redwood High School,#160 Best Public High Schools in America,Tamalpais Union High School District,CA,9-12,4.0,187,A+,"1,770",19:1,2019-03-19 00:43:04.494916
Arcadia High School,#163 Best Public High Schools in America,Arcadia Unified School District,CA,9-12,4.0,984,A+,"3,424",25:1,2019-03-19 00:43:04.494939
University High School,#174 Best Public High Schools in America,Fresno Unified School District,CA,9-12,4.0,220,A+,482,25:1,2019-03-19 00:43:04.494945
Orange County School of the Arts,#182 Best Public High Schools in America,Santa Ana Unified School District,CA,7-12,4.0,459,A+,"2,096",30:1,2019-03-19 00:43:04.494952
Amador Valley High School,#184 Best Public High Schools in America,Pleasanton Unified School District,CA,9-12,4.0,441,A+,"2,628",25:1,2019-03-19 00:43:04.494960
University High School,#199 Best Public High Schools in America,Irvine Unified School District,CA,9-12,4.0,437,A+,"2,617",27:1,2019-03-19 00:43:04.494968
Oxford Academy,#206 Best Public High Schools in America,Anaheim Union High School District,CA,7-12,3.5,572,A+,"1,208",28:1,2019-03-19 00:43:04.494976
Whitney High School,#210 Best Public High Schools in America,ABC Unified School District,CA,7-12,3.5,333,A+,"1,011",25:1,2019-03-19 00:43:04.494984
Dougherty Valley High School,#211 Best Public High Schools in America,San Ramon Valley Unified School District,CA,9-12,3.5,578,A+,"2,759",24:1,2019-03-19 00:43:04.494991
Walnut High School,#226 Best Public High Schools in America,Walnut Valley Unified School District,CA,9-12,4.0,537,A+,"2,675",24:1,2019-03-19 00:43:04.494999
Academy of the Canyons,#228 Best Public High Schools in America,William S. Hart Union High School District,CA,9-12,4.0,203,A+,395,33:1,2019-03-19 00:43:04.495006
Westlake High School,#233 Best Public High Schools in America,Conejo Valley Unified School District,CA,9-12,4.0,419,A+,"2,370",28:1,2019-03-19 00:43:04.495013
Monta Vista High School,#251 Best Public High Schools in America,Fremont Union High School District,CA,9-12,3.5,353,A+,"2,322",26:1,2019-03-19 00:43:04.495020
Mountain View High School,#254 Best Public High Schools in America,Mountain View-Los Altos Union High School District,CA,9-12,4.0,248,A+,"1,857",20:1,2019-03-19 00:43:04.495027
Aragon High School,#259 Best Public High Schools in America,San Mateo Union High School District,CA,9-12,4.0,235,A+,"1,473",21:1,2019-03-19 00:43:04.495035
Del Norte High School,#260 Best Public High Schools in America,Poway Unified School District,CA,9-12,4.0,328,A+,"2,032",28:1,2019-03-19 00:43:04.495042
Burlingame High School,#262 Best Public High Schools in America,San Mateo Union High School District,CA,9-12,4.0,204,A+,"1,339",20:1,2019-03-19 00:43:04.495049
Mission San Jose High School,#266 Best Public High Schools in America,Fremont Unified School District,CA,9-12,3.5,336,A+,"2,069",25:1,2019-03-19 00:43:04.495056
Corona Del Mar High School,#270 Best Public High Schools in America,Newport-Mesa Unified School District,CA,7-12,4.0,247,A+,"2,580",28:1,2019-03-19 00:43:04.495063
South Pasadena Senior High School,#274 Best Public High Schools in America,South Pasadena Unified School District,CA,9-12,3.5,392,A+,"1,528",22:1,2019-03-19 00:43:04.495070
Cupertino High School,#275 Best Public High Schools in America,Fremont Union High School District,CA,9-12,4.0,402,A+,"2,233",25:1,2019-03-19 00:43:04.495077
El Carmelo Elementary School,#18 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,5.0,1,A+,395,21:1,2019-03-19 00:43:04.495084
Jane Lathrop Stanford Middle School,#23 Best Public Middle Schools in America,Palo Alto Unified School District,CA,6-8,3.5,6,A+,"1,111",18:1,2019-03-19 00:43:04.495090
Leland High School,#295 Best Public High Schools in America,San Jose Unified School District,CA,9-12,3.5,260,A+,"1,807",25:1,2019-03-19 00:43:04.495098
Duveneck Elementary School,#21 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,479,20:1,2019-03-19 00:43:04.495104
Davis Senior High School,#305 Best Public High Schools in America,Davis Joint Unified School District,CA,10-12,3.5,316,A+,"1,683",25:1,2019-03-19 00:43:04.495111
Walter Hays Elementary School,#23 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,463,18:1,2019-03-19 00:43:04.495118
Diamond Bar High School,#316 Best Public High Schools in America,Walnut Valley Unified School District,CA,9-12,4.0,703,A+,"3,061",27:1,2019-03-19 00:43:04.495125
Juana Briones Elementary School,#26 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,335,19:1,2019-03-19 00:43:04.495132
Arnold O Beckman High School,#327 Best Public High Schools in America,Tustin Unified School District,CA,9-12,4.0,631,A+,"2,847",27:1,2019-03-19 00:43:04.495139
Fairmeadow Elementary School,#31 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,5.0,2,A+,514,21:1,2019-03-19 00:43:04.495212
Herbert Hoover Elementary School,#36 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,406,21:1,2019-03-19 00:43:04.495223
Ohlone Elementary School,#37 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,4.0,1,A+,600,20:1,2019-03-19 00:43:04.495231
Ellen Fletcher Middle School,#29 Best Public Middle Schools in America,Palo Alto Unified School District,CA,6-8,4.5,3,A+,751,17:1,2019-03-19 00:43:04.495238
Lucille M Nixon Elementary School,#40 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,473,19:1,2019-03-19 00:43:04.495245
Frank S Greene Jr Middle School,#32 Best Public Middle Schools in America,Palo Alto Unified School District,CA,6-8,3.0,9,A+,"1,130",16:1,2019-03-19 00:43:04.495278
Palo Verde Elementary School,#42 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,5.0,1,A+,415,21:1,2019-03-19 00:43:04.495286
Pacific Collegiate Charter School,#356 Best Public High Schools in America,Santa Cruz,CA,7-12,3.5,72,A+,518,18:1,2019-03-19 00:43:04.495298
Albany High School,#357 Best Public High Schools in America,Albany City Unified School District,CA,9-12,3.5,257,A+,"1,208",19:1,2019-03-19 00:43:04.495306
Coronado High School,#360 Best Public High Schools in America,Coronado Unified School District,CA,9-12,4.0,232,A+,"1,231",22:1,2019-03-19 00:43:04.495314
Woodbridge High School,#371 Best Public High Schools in America,Irvine Unified School District,CA,9-12,4.0,408,A+,"2,447",26:1,2019-03-19 00:43:04.495321
Carlmont High School,#372 Best Public High Schools in America,Sequoia Union High School District,CA,9-12,4.0,272,A+,"2,147",22:1,2019-03-19 00:43:04.495328
Foothill High School,#376 Best Public High Schools in America,Pleasanton Unified School District,CA,9-12,4.0,345,A+,"2,085",24:1,2019-03-19 00:43:04.495334
Acalanes High School,#379 Best Public High Schools in America,Acalanes Union High School District,CA,9-12,4.0,170,A+,"1,403",20:1,2019-03-19 00:43:04.495341
Addison Elementary School,#57 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,475,21:1,2019-03-19 00:43:04.495348
San Dieguito High Academy,#393 Best Public High Schools in America,San Dieguito Union High School District,CA,9-12,4.5,417,A+,"1,828",24:1,2019-03-19 00:43:04.495355
Homestead High School,#397 Best Public High Schools in America,Fremont Union High School District,CA,9-12,3.5,401,A+,"2,367",25:1,2019-03-19 00:43:04.495362
Piedmont High School,#416 Best Public High Schools in America,Piedmont City Unified School District,CA,9-12,3.5,73,A+,800,18:1,2019-03-19 00:43:04.495384
Escondido Elementary School,#102 Best Public Elementary Schools in America,Palo Alto Unified School District,CA,K-5,nan,nan,A+,550,20:1,2019-03-19 00:43:04.495391
Mira Costa High School,#431 Best Public High Schools in America,Manhattan Beach Unified School District,CA,9-12,3.5,504,A+,"2,437",23:1,2019-03-19 00:43:04.495398
Beverly Hills High School,#433 Best Public High Schools in America,Beverly Hills Unified School District,CA,9-12,3.5,297,A+,"1,589",17:1,2019-03-19 00:43:04.495405
Crescenta Valley High School,#436 Best Public High Schools in America,Glendale Unified School District,CA,9-12,4.0,553,A+,"2,670",29:1,2019-03-19 00:43:04.495412
Woodside Elementary School,#111 Best Public Elementary Schools in America,Woodside,CA,K-8,4.5,4,A+,409,11:1,2019-03-19 00:43:04.495419
Cerritos High School,#443 Best Public High Schools in America,ABC Unified School District,CA,9-12,3.5,533,A+,"2,132",24:1,2019-03-19 00:43:04.495425
San Mateo High School,#447 Best Public High Schools in America,San Mateo Union High School District,CA,9-12,4.0,218,A+,"1,615",21:1,2019-03-19 00:43:04.495432
Grossmont Middle College High School,#449 Best Public High Schools in America,Grossmont Union High School District,CA,11-12,4.0,130,A+,70,18:1,2019-03-19 00:43:04.495440
Fountain Valley High School,#452 Best Public High Schools in America,Huntington Beach Union High School District,CA,9-12,4.0,735,A+,"3,558",29:1,2019-03-19 00:43:04.495447
University Preparatory Academy Charter School,#457 Best Public High Schools in America,San Jose,CA,7-12,3.5,144,A+,593,22:1,2019-03-19 00:43:04.495463
Valencia High School,#459 Best Public High Schools in America,Placentia-Yorba Linda Unified School District,CA,9-12,4.0,393,A+,"2,797",27:1,2019-03-19 00:43:04.495470
Sage Creek High School,#461 Best Public High Schools in America,Carlsbad Unified School District,CA,9-12,4.5,41,A+,"1,000",26:1,2019-03-19 00:43:04.495477
Tamalpais High School,#476 Best Public High Schools in America,Tamalpais Union High School District,CA,9-12,4.0,176,A+,"1,419",21:1,2019-03-19 00:43:04.495484
Los Alamitos High School,#487 Best Public High Schools in America,Los Alamitos Unified School District,CA,9-12,4.0,798,A+,"3,336",28:1,2019-03-19 00:43:04.495491
Pacific Trails Middle School,#78 Best Public Middle Schools in America,San Dieguito Union High School District,CA,7-8,nan,nan,A+,264,23:1,2019-03-19 00:43:04.495498
Tesoro High School,#499 Best Public High Schools in America,Capistrano Unified School District,CA,9-12,4.0,349,A+,"2,451",28:1,2019-03-19 00:43:04.495505
Irvine High School,#503 Best Public High Schools in America,Irvine Unified School District,CA,9-12,4.0,355,A+,"2,031",27:1,2019-03-19 00:43:04.495512
Dublin High School,#507 Best Public High Schools in America,Dublin Unified School District,CA,9-12,3.5,358,A+,"2,252",22:1,2019-03-19 00:43:04.495518
Mira Loma High School,#508 Best Public High Schools in America,San Juan Unified School District,CA,9-12,3.5,316,A+,"1,681",26:1,2019-03-19 00:43:04.495525
Carver Elementary School,#198 Best Public Elementary Schools in America,San Marino Unified School District,CA,K-5,4.5,2,A+,586,22:1,2019-03-19 00:43:04.495532
Monte Vista High School,#523 Best Public High Schools in America,San Ramon Valley Unified School District,CA,9-12,4.0,241,A+,"2,348",23:1,2019-03-19 00:43:04.495539
Riverside STEM Academy,#524 Best Public High Schools in America,Riverside Unified School District,CA,5-12,4.5,25,A+,577,26:1,2019-03-19 00:43:04.495545
Rancho Bernardo High School,#529 Best Public High Schools in America,Poway Unified School District,CA,9-12,4.0,464,A+,"2,265",28:1,2019-03-19 00:43:04.495552
Santa Monica High School,#531 Best Public High Schools in America,Santa Monica-Malibu Unified School District,CA,9-12,4.0,684,A+,"2,950",23:1,2019-03-19 00:43:04.495558
University Preparatory,#536 Best Public High Schools in America,Shasta Union High School District,CA,6-12,4.0,177,A+,967,23:1,2019-03-19 00:43:04.495565
Preuss School UCSD,#538 Best Public High Schools in America,San Diego Unified School District,CA,6-12,4.0,253,A+,840,21:1,2019-03-19 00:43:04.495572
Carmel Middle School,#107 Best Public Middle Schools in America,Carmel Unified School District,CA,6-8,nan,nan,A+,559,15:1,2019-03-19 00:43:04.495579
Folsom High School,#552 Best Public High Schools in America,Folsom-Cordova Unified School District,CA,9-12,4.0,412,A+,"2,300",26:1,2019-03-19 00:43:04.495586
Huntington Middle School,#108 Best Public Middle Schools in America,San Marino Unified School District,CA,6-8,4.5,13,A+,780,21:1,2019-03-19 00:43:04.495593
Mt Carmel High School,#560 Best Public High Schools in America,Poway Unified School District,CA,9-12,4.0,323,A+,"1,960",27:1,2019-03-19 00:43:04.495600
San Juan Hills High School,#564 Best Public High Schools in America,Capistrano Unified School District,CA,9-12,4.0,358,A+,"2,392",27:1,2019-03-19 00:43:04.495623
Palm Crest Elementary School,#282 Best Public Elementary Schools in America,La Canada Unified School District,CA,K-6,nan,nan,A+,614,22:1,2019-03-19 00:43:04.495630
Deer Canyon Elementary School,#302 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,504,24:1,2019-03-19 00:43:04.495637
R Roger Rowe Middle School,#122 Best Public Middle Schools in America,Rancho Santa Fe Elementary School District,CA,6-8,nan,nan,A+,248,11:1,2019-03-19 00:43:04.495645
High Tech Los Angeles,#588 Best Public High Schools in America,Los Angeles Unified School District,CA,9-12,4.0,127,A+,390,24:1,2019-03-19 00:43:04.495730
Mt Everest Academy,#590 Best Public High Schools in America,San Diego Unified School District,CA,K-12,4.0,40,A+,263,19:1,2019-03-19 00:43:04.495757
Mills High School,#597 Best Public High Schools in America,San Mateo Union High School District,CA,9-12,3.5,235,A+,"1,198",21:1,2019-03-19 00:43:04.495765
Granite Bay High School,#598 Best Public High Schools in America,Roseville Joint Union High School District,CA,9-12,4.0,281,A+,"2,043",24:1,2019-03-19 00:43:04.495772
Las Lomas High School,#601 Best Public High Schools in America,Acalanes Union High School District,CA,9-12,4.0,230,A+,"1,528",20:1,2019-03-19 00:43:04.495780
Menlo-Atherton High School,#606 Best Public High Schools in America,Sequoia Union High School District,CA,9-12,3.5,230,A+,"2,275",20:1,2019-03-19 00:43:04.495787
Foothills Middle School,#133 Best Public Middle Schools in America,Arcadia Unified School District,CA,6-8,3.5,9,A+,770,24:1,2019-03-19 00:43:04.495814
Los Penasquitos Elementary School,#338 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,551,26:1,2019-03-19 00:43:04.495823
Berkeley High School,#614 Best Public High Schools in America,Berkeley Unified School District,CA,9-12,4.0,437,A+,"3,113",18:1,2019-03-19 00:43:04.495831
Alameda Science and Technology Institute,#619 Best Public High Schools in America,Alameda City Unified School District,CA,9-12,4.0,67,A+,175,29:1,2019-03-19 00:43:04.495838
Palos Verdes High School,#626 Best Public High Schools in America,Palos Verdes Peninsula Unified School District,CA,9-12,4.0,354,A+,"1,716",24:1,2019-03-19 00:43:04.495845
Irvington High School,#636 Best Public High Schools in America,Fremont Unified School District,CA,9-12,3.5,622,A+,"2,253",25:1,2019-03-19 00:43:04.495853
Carmel River Elementary School,#380 Best Public Elementary Schools in America,Carmel Unified School District,CA,K-5,nan,nan,A+,455,21:1,2019-03-19 00:43:04.495860
Willow Grove Elementary School,#382 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,764,25:1,2019-03-19 00:43:04.495867
Clovis North High School,#642 Best Public High Schools in America,Clovis Unified School District,CA,9-12,4.0,308,A+,"2,459",24:1,2019-03-19 00:43:04.495874
R Roger Rowe Elementary School,#386 Best Public Elementary Schools in America,Rancho Santa Fe Elementary School District,CA,K-5,5.0,2,A+,427,17:1,2019-03-19 00:43:04.495881
La Canada Elementary School,#392 Best Public Elementary Schools in America,La Canada Unified School District,CA,K-6,3.5,3,A+,672,24:1,2019-03-19 00:43:04.495888
Carmel Valley Middle School,#158 Best Public Middle Schools in America,San Dieguito Union High School District,CA,7-8,4.0,4,A+,"1,361",27:1,2019-03-19 00:43:04.495896
Creekside Elementary School,#399 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,564,25:1,2019-03-19 00:43:04.495903
Redondo Union High School,#648 Best Public High Schools in America,Redondo Beach Unified School District,CA,9-12,4.0,560,A+,"2,755",26:1,2019-03-19 00:43:04.495910
Oak Park High School,#649 Best Public High Schools in America,Oak Park Unified School District,CA,9-12,4.0,292,A+,"1,542",24:1,2019-03-19 00:43:04.495917
Paradise Canyon Elementary School,#431 Best Public Elementary Schools in America,La Canada Unified School District,CA,K-6,nan,nan,A+,717,24:1,2019-03-19 00:43:04.495924
Yorba Linda High School,#667 Best Public High Schools in America,Placentia-Yorba Linda Unified School District,CA,9-12,4.0,326,A+,"1,791",27:1,2019-03-19 00:43:04.495930
Aliso Niguel High School,#669 Best Public High Schools in America,Capistrano Unified School District,CA,9-12,4.0,657,A+,"3,068",29:1,2019-03-19 00:43:04.495938
Dos Pueblos Senior High School,#674 Best Public High Schools in America,Santa Barbara Unified School District,CA,9-12,4.0,409,A+,"2,130",24:1,2019-03-19 00:43:04.495945
Monterey Ridge Elementary School,#452 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,"1,038",26:1,2019-03-19 00:43:04.495952
Highland Oaks Elementary School,#460 Best Public Elementary Schools in America,Arcadia Unified School District,CA,K-5,nan,nan,A+,680,25:1,2019-03-19 00:43:04.495959
Stone Ranch Elementary School,#477 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,5.0,1,A+,956,26:1,2019-03-19 00:43:04.495967
Western Sierra Collegiate Academy,#692 Best Public High Schools in America,Rocklin Academy Family of Schools,CA,6-12,3.5,102,A+,728,23:1,2019-03-19 00:43:04.495974
Turtle Rock Elementary School,#487 Best Public Elementary Schools in America,Irvine Unified School District,CA,K-6,4.0,1,A+,883,29:1,2019-03-19 00:43:04.495981
Foothill Technology High School,#693 Best Public High Schools in America,Ventura Unified School District,CA,9-12,4.0,252,A+,"1,023",28:1,2019-03-19 00:43:04.495988
Great Oak High School,#695 Best Public High Schools in America,Temecula Valley Unified School District,CA,9-12,4.0,718,A+,"3,473",27:1,2019-03-19 00:43:04.495995
Rancho San Joaquin Middle School,#193 Best Public Middle Schools in America,Irvine Unified School District,CA,7-8,4.5,3,A+,863,28:1,2019-03-19 00:43:04.496002
Vista Verde,#499 Best Public Elementary Schools in America,Irvine Unified School District,CA,K-8,4.5,2,A+,947,28:1,2019-03-19 00:43:04.496009
