School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Stuyvesant High School,#4 Best Public High Schools in America,New York City Geographic District No. 2,NY,9-12,4.0,907,A+,"3,328",22:1,2019-03-19 01:01:35.256820
Staten Island Technical High School,#5 Best Public High Schools in America,New York City Geographic District No. 31,NY,9-12,4.5,590,A+,"1,278",22:1,2019-03-19 01:01:35.256848
Bronx High School of Science,#17 Best Public High Schools in America,New York City Geographic District No. 10,NY,9-12,4.0,789,A+,"3,011",22:1,2019-03-19 01:01:35.256863
Townsend Harris High School,#22 Best Public High Schools in America,New York City Geographic District No. 25,NY,9-12,4.0,542,A+,"1,132",21:1,2019-03-19 01:01:35.256875
Great Neck South High School,#28 Best Public High Schools in America,Great Neck Public Schools,NY,8-12,4.0,203,A+,"1,205",11:1,2019-03-19 01:01:35.256885
Jericho Senior High School,#34 Best Public High Schools in America,Jericho Union Free School District,NY,9-12,4.0,117,A+,"1,103",10:1,2019-03-19 01:01:35.256896
Scarsdale Senior High School,#60 Best Public High Schools in America,Scarsdale Union Free School District,NY,9-12,4.0,101,A+,"1,499",11:1,2019-03-19 01:01:35.256906
High School Math Science & Engineering at The City College of New York (CCNY),#73 Best Public High Schools in America,New York City Geographic District No. 5,NY,9-12,4.0,155,A+,476,16:1,2019-03-19 01:01:35.256916
Syosset Senior High School,#119 Best Public High Schools in America,Syosset Central School District,NY,9-12,4.0,311,A+,"2,085",10:1,2019-03-19 01:01:35.256940
Roslyn High School,#123 Best Public High Schools in America,Roslyn Union Free School District,NY,9-12,4.0,111,A+,"1,020",12:1,2019-03-19 01:01:35.256951
Brooklyn Technical High School,#126 Best Public High Schools in America,New York City Geographic District No. 13,NY,9-12,4.0,"1,739",A+,"5,534",23:1,2019-03-19 01:01:35.256961
Horace Greeley High School,#153 Best Public High Schools in America,Chappaqua Central School District,NY,9-12,3.5,101,A+,"1,285",12:1,2019-03-19 01:01:35.257080
Bard High School Early College Queens,#154 Best Public High Schools in America,New York City Geographic District No. 24,NY,9-12,4.0,312,A+,600,18:1,2019-03-19 01:01:35.257111
Great Neck North High School,#157 Best Public High Schools in America,Great Neck Public Schools,NY,9-12,4.0,90,A+,"1,088",11:1,2019-03-19 01:01:35.257121
Mamaroneck High School,#159 Best Public High Schools in America,Mamaroneck Union Free School District,NY,9-12,4.0,127,A+,"1,519",14:1,2019-03-19 01:01:35.257128
Rye High School,#166 Best Public High Schools in America,Rye City School District,NY,9-12,4.0,68,A+,975,15:1,2019-03-19 01:01:35.257136
High School of American Studies at Lehman College,#167 Best Public High Schools in America,New York City Geographic District No. 10,NY,9-12,4.0,105,A+,370,15:1,2019-03-19 01:01:35.257143
Baccalaureate School for Global Education,#169 Best Public High Schools in America,New York City Geographic District No. 30,NY,7-12,4.0,173,A+,487,16:1,2019-03-19 01:01:35.257150
Pittsford-Mendon High School,#172 Best Public High Schools in America,Pittsford Central School District,NY,9-12,4.0,152,A+,990,13:1,2019-03-19 01:01:35.257158
Robert Seaman Elementary School,#8 Best Public Elementary Schools in America,Jericho Union Free School District,NY,K-5,nan,nan,A+,333,10:1,2019-03-19 01:01:35.257166
Pittsford Sutherland High School,#195 Best Public High Schools in America,Pittsford Central School District,NY,9-12,4.0,210,A+,931,13:1,2019-03-19 01:01:35.257174
Brighton High School,#197 Best Public High Schools in America,Brighton Central School District,NY,9-12,4.0,235,A+,"1,123",11:1,2019-03-19 01:01:35.257180
Cantiague Elementary School,#10 Best Public Elementary Schools in America,Jericho Union Free School District,NY,K-5,nan,nan,A+,405,13:1,2019-03-19 01:01:35.257187
Jericho Middle School,#16 Best Public Middle Schools in America,Jericho Union Free School District,NY,6-8,nan,nan,A+,701,13:1,2019-03-19 01:01:35.257194
George A Jackson School,#12 Best Public Elementary Schools in America,Jericho Union Free School District,NY,K-5,nan,nan,A+,432,10:1,2019-03-19 01:01:35.257201
Herricks High School,#221 Best Public High Schools in America,Herricks Union Free School District,NY,9-12,4.0,136,A+,"1,326",14:1,2019-03-19 01:01:35.257208
Manhasset Secondary School,#225 Best Public High Schools in America,Manhasset Union Free School District,NY,9-12,4.0,59,A+,"1,122",12:1,2019-03-19 01:01:35.257215
Great Neck South Middle School,#17 Best Public Middle Schools in America,Great Neck Public Schools,NY,6-8,4.5,6,A+,795,10:1,2019-03-19 01:01:35.257222
Queens High School for the Sciences at York College,#243 Best Public High Schools in America,New York City Geographic District No. 28,NY,9-12,4.0,148,A+,434,18:1,2019-03-19 01:01:35.257230
Lakeville Elementary School,#13 Best Public Elementary Schools in America,Great Neck Public Schools,NY,K-5,4.5,2,A+,729,11:1,2019-03-19 01:01:35.257237
Eleanor Roosevelt High School,#278 Best Public High Schools in America,New York City Geographic District No. 2,NY,9-12,4.0,121,A+,554,17:1,2019-03-19 01:01:35.257245
South Grove Elementary School,#14 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,398,13:1,2019-03-19 01:01:35.257252
EM Baker School,#15 Best Public Elementary Schools in America,Great Neck Public Schools,NY,K-5,5.0,1,A+,624,11:1,2019-03-19 01:01:35.257258
Byram Hills High School,#283 Best Public High Schools in America,Byram Hills Central School District,NY,9-12,4.0,106,A+,870,11:1,2019-03-19 01:01:35.257265
Village Elementary School,#20 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,366,12:1,2019-03-19 01:01:35.257271
John Jay High School,#304 Best Public High Schools in America,Katonah-Lewisboro Union Free School District,NY,9-12,4.0,97,A+,"1,098",13:1,2019-03-19 01:01:35.257278
Paul D Schreiber Senior High School,#308 Best Public High Schools in America,Port Washington Union Free School District,NY,9-12,4.0,204,A+,"1,594",14:1,2019-03-19 01:01:35.257285
